hash,block,from,to,amt,asset,current_price,market_value,link
0xd6e1761b92f03ec54344bbe695a4f6c64620d73837f95928087762491351701b,7439955,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"3,674.25",TRUE Token,0.5275,"1,938.17",https://etherscan.io/tx/0xd6e1761b92f03ec54344bbe695a4f6c64620d73837f95928087762491351701b
0x3247d6327d6914625d8ee4ac26e49b61a8255e63737fdc046f270311ad85452a,7439956,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"140,541.77",Medical Token Currency,0.0135,"1,897.31",https://etherscan.io/tx/0x3247d6327d6914625d8ee4ac26e49b61a8255e63737fdc046f270311ad85452a
0x2e45c42081bdf7f8cd2fcf5fc52a27ec3b2d506e7765dc52c5d84f2fdf38452e,7439956,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"660,613.64",Herocoin,0.0028,"1,849.72",https://etherscan.io/tx/0x2e45c42081bdf7f8cd2fcf5fc52a27ec3b2d506e7765dc52c5d84f2fdf38452e
0xf50303e0102e88e427f9988c58d21ec1f0b7a67e605d04d8d4c86b9ac5c1f93c,7439960,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"335,103.10",AI Doctor,0.0052,"1,742.54",https://etherscan.io/tx/0xf50303e0102e88e427f9988c58d21ec1f0b7a67e605d04d8d4c86b9ac5c1f93c
0x488e1ec3e4e48929bbdd1833b4edda0c24ce60c8d64f2d6a95ecfdd415a89831,7439971,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,059.88",Populous,1.5088,"1,599.14",https://etherscan.io/tx/0x488e1ec3e4e48929bbdd1833b4edda0c24ce60c8d64f2d6a95ecfdd415a89831
0x8320d54ca492da6ee22314f14a84c06f9870bda5b6d8c0b48d7f2c8604e8685e,7439972,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"230,372.17",INCX,0.0062,"1,428.31",https://etherscan.io/tx/0x8320d54ca492da6ee22314f14a84c06f9870bda5b6d8c0b48d7f2c8604e8685e
0x3cf75c3ad20072ece39ad0fd167838ca3354b9e04ec741b9cb2a879ed8c718ba,7439972,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,329,361.93",Nebula AI,0.0012,"1,595.23",https://etherscan.io/tx/0x3cf75c3ad20072ece39ad0fd167838ca3354b9e04ec741b9cb2a879ed8c718ba
0x056488c3a27a3bce0d6c10a3136eb710cf0af905671f57adf8907214264ffde2,7439981,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"12,124,988.05",VisionX,0.0001,"1,212.50",https://etherscan.io/tx/0x056488c3a27a3bce0d6c10a3136eb710cf0af905671f57adf8907214264ffde2
0xb09eb7a554b16aed0454976a5fb79b010e7dbc7647c14a34ddcd0853fac90ce3,7439987,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"871,335.20",Data,0.0013,"1,132.74",https://etherscan.io/tx/0xb09eb7a554b16aed0454976a5fb79b010e7dbc7647c14a34ddcd0853fac90ce3
0xc6caf64708dd6e1871d338f6e38f30d8f6ab76f82244cdbc3327ec716956fad9,7439987,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,76.00,ETH,140,"10,640.00",https://etherscan.io/tx/0xc6caf64708dd6e1871d338f6e38f30d8f6ab76f82244cdbc3327ec716956fad9
